"id";"seed";"startdate";"datestamp";"SEQUENCE";"TREATMENT1KVID";"TREATMENT1KVTIME";"PERIOD1";"NOTATION1";"TREATMENT1KVSUS[SQ001]";"TREATMENT1KVSUS[SQ002]";"TREATMENT1KVSUS[SQ003]";"TREATMENT1KVSUS[SQ004]";"TREATMENT1KVSUS[SQ005]";"TREATMENT1KVSUS[SQ006]";"TREATMENT1KVSUS[SQ007]";"TREATMENT1KVSUS[SQ008]";"TREATMENT1KVSUS[SQ009]";"TREATMENT1KVSUS[SQ010]";"TREATMENT1KVCOMMENTS";"TREATMENT2NLID";"TREATMENT2NLTIME";"PERIOD2";"NOTATION2";"TREATMENT2NLSUS[SQ001]";"TREATMENT2NLSUS[SQ002]";"TREATMENT2NLSUS[SQ003]";"TREATMENT2NLSUS[SQ004]";"TREATMENT2NLSUS[SQ005]";"TREATMENT2NLSUS[SQ006]";"TREATMENT2NLSUS[SQ007]";"TREATMENT2NLSUS[SQ008]";"TREATMENT2NLSUS[SQ009]";"TREATMENT2NLSUS[SQ010]";"TREATMENT2NLCOMMENTS";"RANKING[SQ001]";"RANKING[SQ002]";"RANKINGEXPLAIN";"CLAIMEFFICIENCY[SQ001]";"CLAIMEFFECTIVENESS[SQ001]";"TEXTasFIRSTSTEP[SQ001]";"TEXTwithGUI[SQ001]";"GENERALCOMMENTS";"PAYMENTYESNO"
"14";"2070192834";"2022-07-18 11:17:43";"2022-07-18 12:17:49";"2";"experiment14";"11:19";"1";"kv";"3";"3";"4";"1 - strongly disagree";"4";"2";"3";"1 - strongly disagree";"4";"2";"It was simple to use. I would however prefer to write some commands in one line only instead of define title, timestamps, body, etc. per line. For the non-technical users, I think a visual editor would be better. I can image there would be ""teachers"" who are not comfortable with coding.";"experiment15";"8:31";"2";"nl";"3";"2";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"3";"1 - strongly disagree";"4";"2";"Before the 2nd experiment, I was a bit reluctant to use the natural language notation because I previously created a module with the first notation and ""got used to it"". Which one is easier to use? Both are failry simple. From my perspective, it took me a bit longer with the first experiment (about 2 minutes longer) because I had to get used to the environment and the task at hand. But the 1st notation is something I would feel more familiar with (I would however suggest to assign a title, timestamps, etc. in a single line, if possible).

As discussed, I also wonder what would happen if you need to create more than 1 module. You might need to assign an ID in that scenario?

Also, in the 2nd scenario, the instructions say: there are 2 correct answer option but 1 should be correct (if I noticed this correctly). This is a minor thing, though.";"2nd place";"1st place";"I find the key-value notation more natural, but I might be influenced by the other languages I work with. I can imagine that the natural language notation would be easier to those who do not have much experience coding? I am very interested how the teachers who have other backgrounds (English, history, primary school teachers, ...) would respond to this tool. I personally find it easy to use (and also fun). I think some other people might feel more comfortable with a visual editor.";"3";"3";"4";"4";"How about while watching a video provide an option for the teachers to mark (pause) the video at a given timestamp and then have an option to create a module/other elements with a click of a button. Later on, based on the modules/other elements that you assigned visually, edit them/insert more fine-grained elements in the text-based tool.";"Yes"
"16";"1206224602";"2022-07-19 09:34:37";"2022-07-19 10:29:24";"2";"experiment24";"07:09";"1";"kv";"5 - strongly agree";"2";"4";"2";"4";"1 - strongly disagree";"4";"2";"4";"1 - strongly disagree";"I think the notation is easy to use but I am not sure if it would be easy to use without the video instructions before. I do not have any knowledge about programming, I only know a little bit of HTML and I think without the 2 videos before I would have more difficulties to use the notation or I would have take a longer time to get to know it. Once I knew how it worked, it was easy.

Sometimes I had to close the pop-up windows from the help section to see what my tasks are. It did not really mattered but I noticed it.

I also noticed that it was a little bit hard to scroll to the left if the task had a long text. It jumped to the end of the text (to the right) when I scrolled to the left. ";"experiment25";"6:55";"2";"nl";"2";"4";"2";"3";"4";"2";"3";"5 - strongly agree";"3";"3";"For me, the notation was not easy to use. I am not sure if the reason was because I knew the logic of the other notation but I think there is too much text to insert to the commands, e.g. to, with, which - these are small words that I will forget a lot to add and that is why I think that the notation would be more error prone. 

I also noticed that in the instructions there once was the word ""Add"" but I had to use the command ""Set"". So this was a little bit confusing. Fortunately, there were this information pop-up window that are well described, otherwise I would've made the mistake to use the command ""Add"" and get an error.

I would not like to use the notation but I can imagine that people without any knowledge about programming could think the notation is easy to use because they can use ""normal"" or full text to describe the commands. 

Additonally it is really important that in the video the speaker tell the user that the module won't need an ID.";"2nd place";"1st place";"see feedbacks before :)";"5 - strongly agree";"5 - strongly agree";"4";"4";"";"No"
"17";"688332622";"2022-07-19 11:02:40";"2022-07-19 12:14:16";"2";"experiment26";"18:06";"1";"kv";"4";"2";"4";"2";"4";"2";"4";"2";"4";"2";"I did take notes during the tutorial which was helpful, as for the interface the help page gets in conflict with the coding window. It would be nice to have the possibility to copy and paste the examples and adapt them to the current needs. It was relatively easy to complete the ""new"" task (adding a question). The error message I received was up to me not reading well the example.

";"experiment27";"15:09";"2";"nl";"2";"4";"3";"3";"4";"2";"3";"4";"2";"4";"Case sensitivity was problematic (having read the instructions would have helped, again)
I had to consult my notes and help quite frequently to find the correct words (create ... with, set ... to)
however, the more you use it the more you get used to it ;-) and it gives you a good overview of the different steps (create, set, add)";"1st place";"1st place";"I think both systems are useful and helpful
Natural-Language Notation will be easier to ""read"", reuses and adopt for people without programming background
Key-Value Notation is less time consuming";"2";"4";"5 - strongly agree";"5 - strongly agree";"";"No"
"19";"91230360";"2022-07-21 09:43:22";"2022-07-21 10:41:44";"2";"experiment36";"11:00";"1";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"2";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"Not clear, why timestamps have to be appended to module manually with the command video vidID timestamp (...)
Case sensitive language?
feedback for question was missing/not working or not implemented correctly by me";"experiment37";"09:45";"2";"nl";"3";"2";"4";"1 - strongly disagree";"4";"4";"2";"1 - strongly disagree";"4";"1 - strongly disagree";"Unclear how to create an element with different attributes
felt a littlbe bit inconsistent using severals adds (question) and csv-style (module) for me
probably not related with the syntax, but the syntax highlighting did not work as expected";"2nd place";"1st place";"Maybe i am using to much kv-notation languages atm. Therefore, it felt more logical for me to use the kv-notation.
But probably, for novices, the nl-notation would be more intuitive.";"5 - strongly agree";"4";"1 - strongly disagree";"5 - strongly agree";"";"No"
"20";"1202244653";"2022-07-21 14:33:19";"2022-07-21 15:24:46";"2";"experiment40";"09:16";"1";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"Language is quite easy to understand, I missed a key word once and the error message was not really helpful, but I figured it out on my own 
I think its straight forward to setup a video with this notation and integrate different elements, I think the notation in general is quite repetitive, as you have to write ""question q1 ..."" often to add all your arguments ";"experiment41";"6:49";"2";"nl";"2";"4";"3";"1 - strongly disagree";"3";"4";"3";"4";"4";"2";"Statements are quite long with all these words in between the key/values; i think the difference between set and add is very fine, it would be good if it is just one command; Also quite repetitive and with the words in between typos and errors occur easily, also for me the search for errors was not easy as i didnt had a good overview over the code - seems unstructured because it is only text";"2nd place";"1st place";"for me it was easier to work with key value as it is shorter and more what i am expecting from a ""programming / scripting language"" 
i think some people work well with natural language notation but I had to look constantly into the example which words come next, it was not intuitive for me, where as the key value notation I was able to write it without a lot of help of the examples ";"4";"5 - strongly agree";"4";"4";"altough it is not only text but to have symbols like = in the code i think are just as easy to grasp in code 
the buttons in the tutorial with the examples were good, however i was expecting that they write code automatically in the text field (would be a nice touch in a day to day tool, so you just have to adapt the variables), also a good syntax highlighting would help in the editor ";"Yes"
"23";"";"2022-08-10 11:03:00";"2022-08-10 11:52:00";"2";"experiment47";"11:11";"1";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"2";"5 - strongly agree";"1 - strongly disagree";"Bevor ich die Anweisungen codiert habe, habe ich mir die jeweils die Referenzen durchgelesen, um sicherzustellen, dass ich die Notation korrekt verwende. So konnte ich die Aufgabe sehr gut lösen.";"experiment48";"07:57";"2";"nl";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"4";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"Ich bin mit der selben Herangehensweise herangegangen wie bei dem Experiment davor (Referenzen verwenden).";"don't know";"don't know";"Ich finde beide Programmiersprachen sehr einfach zu verwenden, sobald man die Notationen durchgelesen hat.";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"";"Yes"
"24";"1824038329";"2022-08-10 12:34:36";"2022-08-10 13:17:51";"2";"experiment49";"08:03";"1";"kv";"4";"2";"5 - strongly agree";"1 - strongly disagree";"4";"2";"5 - strongly agree";"4";"4";"2";"";"experiment50";"10:02";"2";"nl";"2";"3";"2";"1 - strongly disagree";"4";"1 - strongly disagree";"2";"2";"3";"2";"";"2nd place";"1st place";"";"4";"4";"4";"4";"";"No"
"26";"648261524";"2022-08-11 12:32:05";"2022-08-11 13:18:33";"2";"58";"06:01";"1";"kv";"4";"2";"4";"2";"4";"2";"4";"3";"4";"2";"The syntax is easy and consistent enough. Particularly the examples in the help section are helpful for just copying without having to think about the syntax myself.";"59";"05:27";"2";"nl";"3";"3";"3";"2";"2";"4";"3";"3";"4";"2";"I found this natural language notation more cumbersome than the first one. It seemed less consistent, I felt that I had to use unnecessary adverbs, it was more spurious and not as easy to remember. If I 'program' a script, a 'real' programming language with a clear structure would feel more natural and easier to learn and remember (without having to constantly refer to the example scripts).";"2nd place";"1st place";"Both key-value notation and natural-language notation are easy enough, but the key-value notation is more consistent and easier to memorize (at least to me). I have limited programming experience, but I do program my lecture slides in Latex, as I find this far more easier than drag-and-drop in PowerPoint.";"4";"4";"4";"5 - strongly agree";"I find video editing (in Linux with KdenLive) quite cumbersome and find it hard to work with the graphical timeline. For me, a programming approach would work much better. Also, I could more easily scroll back to check whether I defined all the timepoints and other things that I wanted to define (it gives me a better overview).

In terms of logic, it struck me as odd that I was allowed to already add material to the video before I defined them. In programming, using or referring to variables before you defined them, is strongly discouraged. I also think that for humans it is more logical to first define/create all items and then integrate them.";"No"
"27";"1082741466";"2022-08-11 12:32:07";"2022-08-11 13:51:13";"2";"experiment57";"07:22";"1";"kv";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"1 - strongly disagree";"5 - strongly agree";"2";"4";"2";"5 - strongly agree";"1 - strongly disagree";"In general, I enjoyed the editing process very much. I think the syntax is very well-thought. However, I have a couple of suggestions:
1. In ""video"", the URL key is upper-case while all other keys are lower-case, why not just keep the url key lower-case as well? Also, it would be nice for consistency and probably security to enclose the URL value in parentheses in the same way as strings.
2. In ""question"", the word ""question"" is used both as a classname and as keyword, this might confuse some users. I would suggest changing the key name to ""body"" or something similar. Also, the structure of the answer key where text strings are interchanging with boolean wrong/correct values may lead to confusion and errors, I would suggest using some nested key-value structure there, e.g. question q1 answers ((""Wrong answer"", wrong), (""Correct answer"", correct)). (Maybe there is an even better way to do it). While it would make the notation more complicated, it will be more structured, which will be beneficial to some users.";"experiment60";"07:40";"2";"nl";"1 - strongly disagree";"4";"2";"1 - strongly disagree";"3";"3";"2";"5 - strongly agree";"2";"1 - strongly disagree";"Although my answers may be biased as at this point I am implicitly comparing the ""natural-language"" notation with the key-value notation, in general my experience with the ""natural-language"" one is rather unpleasant. While the usage of ""create"" vs ""set"" commands at least makes sense, the sudden introduction of the ""add"" command is really confusing. Why does one ""add"" timestamps to the video but does not ""add"" answers to question, for example?
While this notation is more similar to imperative programming languages, where one actively ""creates"" objects and ""sets"" their properties, the attempt to make it sound more like a natural language with the excessive use of ""with"", ""of"", ""which is"", etc. makes the script so ridiculous that I would be more happy with something completely ""technical"" like v1.url=""youtube.com/something"" rathet than ""Set URL of v1 to youtube.com/something"".";"2nd place";"1st place";"The key-value notation is a declarative one, and this is no surprise it is more convenient for creating static content like such learning modules, look back at HTML, which is also declarative and has been used successfully to structure web pages for the last 3 decades. It just feels natural.
The ""natural-language"" notation looks like an imperative programming language with an excessive amount of prepositions and rather weird word order, which in my opinion takes the worst from both worlds: imperative programming languages and natural languages. First, in contrast to the argument I had for the key-value notation, one would seldom use an imperative programming language to create content manually. It does makes sense to use it for automated content generation, e.g. you have a ready database with video URLs, course titles and texts and you want to automatically generate similar web pages for them, but for a case where every page is to some extent uniquely handcrafted it is just a massive overkill. Second, the attempt to make it sound more like natural language did not work out nicely in my opinion. While I clearly see the purpose behind it, which is to make the language more appealing to non-technical users, the excessive usage of prepositions like ""of"", ""with"", etc. just makes the text look clumsy. On top of that, the word order required to make it sound more natural, i.e. set attribute of id to value, just hurts a programmer's eye a bit.";"4";"5 - strongly agree";"5 - strongly agree";"5 - strongly agree";"The comparison of the two notations is yet another instance of the somewhat classical declarative vs imperative debate. Are there no existing studies on which one fits better for the purpose? ";"Yes"
"28";"151743211";"2022-08-16 14:31:29";"2022-08-16 15:56:09";"2";"experiment68";"11:45";"1";"kv";"3";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"1 - strongly disagree";"4";"2";"2";"1 - strongly disagree";"The information windows that pops when clicking the buttons (e.g. ""Video"", ""Question"") covers a part of the code and the window isn't moveable. It would be nice to be able to drag the window.

It would also be nice if the identifiers (e.g. ""URL"", ""title"") were colored, just to give the user a confirmation.

Other than that, it was really easy to navigate the tool and everything was clear. I finished successfully and I didn't find it difficult. My first general impression however is that it might be nice to have some interactive elements, for example: drag a box titled ""video"" into the storyboard editing field (bottom left box) which will automatically insert the code. It will then prompt you to insert a title, if you want timestamps, etc. This might be more intuitive and faster than writing code.

";"experiment71";"22:15";"2";"nl";"3";"1 - strongly disagree";"4";"1 - strongly disagree";"2";"1 - strongly disagree";"4";"3";"4";"1 - strongly disagree";"This natural language notation was more intuitive to use and therefore is faster. I finished ""successfully"" within 22 minutes, because I was stuck on an error for 15 minutes. The error feedback (""extra characters after close-quote"") wasn't helpful, as it didn't tell me what line this was on and actually mislead me to looking for the error in the wrong places. 

The actual mistake I made was I used the wrong syntax for the answers of the question. I used a notation similar to that of the first experiment: ""Set answer of q1 to (""Answer 1"", correct ""Answer 2"", wrong) instead of: ""Set answer of q1 to ""Answer 1"" which is correct, Set answer of q1 to ""Answer 2"" which is false"". This was simply a mistake on my part and not due to a flaw of the natural language notation. I believe that now I would be more confident and also faster using this notation over the previous one!";"1st place";"2nd place";"As stated previously, i find the natural-language notation to be more intuitive and therefore faster to use.";"5 - strongly agree";"3";"2";"5 - strongly agree";"I feel like the combination of a GUI and textual notation is the best. The GUI would be good for creating the main structure of the module (what goes where, how big should the textfield or embedded video be, etc). And the textual notation would be good for further refinements (e.g. creating the question/answer form, setting title of elements, etc). You should be able to switch between GUI and textual notation in my opinion!";"Yes"
